"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/TOTAL","Total","","TOTAL","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1-5","Non manual workers","","OC1-5","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1-3","Managers, professionals, technicians and associate professionals","","OC1-3","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1","Managers","","OC1","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC11","Chief executives, senior officials and legislators","","OC11","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC111","Legislators and senior officials","","OC111","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1111","Legislators","","OC1111","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1112","Senior government officials","","OC1112","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1113","Traditional chiefs and heads of village","","OC1113","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1114","Senior officials of special-interest organizations","","OC1114","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC112","Managing directors and chief executives","","OC112","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1120","Managing directors and chief executives","","OC1120","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC12","Administrative and commercial managers","","OC12","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC121","Business services and administration managers","","OC121","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1211","Finance managers","","OC1211","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1212","Human resource managers","","OC1212","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1213","Policy and planning managers","","OC1213","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1219","Business services and administration managers not elsewhere classified","","OC1219","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC122","Sales, marketing and development managers","","OC122","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1221","Sales and marketing managers","","OC1221","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1222","Advertising and public relations managers","","OC1222","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1223","Research and development managers","","OC1223","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC13","Production and specialised services managers","","OC13","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC131","Production managers in agriculture, forestry and fisheries","","OC131","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1311","Agricultural and forestry production managers","","OC1311","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1312","Aquaculture and fisheries production managers","","OC1312","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC132","Manufacturing, mining, construction, and distribution managers","","OC132","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1321","Manufacturing managers","","OC1321","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1322","Mining managers","","OC1322","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1323","Construction managers","","OC1323","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1324","Supply, distribution and related managers","","OC1324","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC133","Information and communications technology service managers","","OC133","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1330","Information and communications technology service managers","","OC1330","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC134","Professional services managers","","OC134","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1341","Child care services managers","","OC1341","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1342","Health services managers","","OC1342","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1343","Aged care services managers","","OC1343","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1344","Social welfare managers","","OC1344","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1345","Education managers","","OC1345","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1346","Financial and insurance services branch managers","","OC1346","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1349","Professional services managers not elsewhere classified","","OC1349","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC14","Hospitality, retail and other services managers","","OC14","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC141","Hotel and restaurant managers","","OC141","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1411","Hotel managers","","OC1411","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1412","Restaurant managers","","OC1412","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC142","Retail and wholesale trade managers","","OC142","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1420","Retail and wholesale trade managers","","OC1420","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC143","Other services managers","","OC143","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1431","Sports, recreation and cultural centre managers","","OC1431","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC1439","Services managers not elsewhere classified","","OC1439","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2","Professionals","","OC2","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC21","Science and engineering professionals","","OC21","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC211","Physical and earth science professionals","","OC211","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2111","Physicists and astronomers","","OC2111","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2112","Meteorologists","","OC2112","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2113","Chemists","","OC2113","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2114","Geologists and geophysicists","","OC2114","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC212","Mathematicians, actuaries and statisticians","","OC212","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2120","Mathematicians, actuaries and statisticians","","OC2120","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC213","Life science professionals","","OC213","valid","2013-02-26"
