category_level1;category_key;varname;vartype_key;name_en;samplegroup_key;unit_key;linktype;chebi_id;inchikey_id;in vitro measurement, biochemical measurement, clinical assay measurement;linktype_loinc;matrix loinc;loinc reference id
Effect marker;<TODO: nog aan te vullen effectgroup>;bdnf;measured;BDNF;blood;ng/mL;;;;;;;
Effect marker;<TODO: nog aan te vullen effectgroup>;bdnf;measured;BDNF;urine;ng/mL;;;;;;;
Effect marker;<TODO: nog aan te vullen effectgroup>;kiss54;measured;Kisspeptine 54;blood;pg/mL;;;;;;;
Effect marker;Blood and blood composition;baso_perc;measured;Percentage Basophils;blood;%;;;;;;;
Effect marker;Blood and blood composition;bpt;measured;Platelet function test;blood;-;;;;;;;
Effect marker;Blood and blood composition;cd3plus_perc;measured;Percentage T cells;blood;%;;;;;;;
Effect marker;Blood and blood composition;cd4plus_perc;measured;Percentage (helper) T cells;blood;%;;;;;;;
Effect marker;Blood and blood composition;cd8plus_perc;measured;Percentage (cytotox.) T cells;blood;%;;;;;;;
Effect marker;Blood and blood composition;eosino_perc;measured;Percentage Eosinophils;blood;%;;;;;;;
Effect marker;Blood and blood composition;eryth;measured;Erythrocytes;blood;milj/µL;;;;;;;
Effect marker;Blood and blood composition;hb;measured;Hemoglobin;blood;g/dL;exact_match;;INGWEZCOABYORO-UHFFFAOYSA-N;;;;
Effect marker;Blood and blood composition;hba1c;measured;Glycated haemoglobin;blood;mmol/mol;;;;;;;
Effect marker;Blood and blood composition;hba1c_perc;measured;Percentage Glycated haemoglobin;blood;%;;;;;;;
Effect marker;Blood and blood composition;hct_perc;measured;Percentage Hematocrit;blood;%;;;;;;;
Effect marker;Blood and blood composition;hemol;measured;Index hemolysis;blood;-;;;;;;;
Effect marker;Blood and blood composition;icter;measured;Index icterie;blood;-;;;;;;;
Effect marker;Blood and blood composition;leuko;measured;Leukocytes total;blood;amount/µL;;;;;;;
Effect marker;Blood and blood composition;lipem;measured;Index lipemia;blood;-;;;;;;;
Effect marker;Blood and blood composition;lympho_perc;measured;Percentage Lymphocytes;blood;%;;;;;;;
Effect marker;Blood and blood composition;mch;measured;Mean Corpuscular Hemoglobin;blood;pg;;;;;;;
Effect marker;Blood and blood composition;mchc;measured;Mean Corpuscular Hemoglobin Concentration;blood;g/dL;;;;;;;
Effect marker;Blood and blood composition;mcv;measured;Mean Corpuscular Volume (average volume of the erythrocytes);blood;fL;;;;;;;
Effect marker;Blood and blood composition;monocy_perc;measured;Percentage Monocytes;blood;%;;;;;;;
Effect marker;Blood and blood composition;morf;measured;Morphology RBC / WBC / PLT;blood;-;;;;;;;
Effect marker;Blood and blood composition;nepbcells_perc;measured;Percentage Fake B cells;blood;%;;;;;;;
Effect marker;Blood and blood composition;nepnkcel_perc;measured;Percentage Natural killer cells;blood;%;;;;;;;
Effect marker;Blood and blood composition;neutro_perc;measured;Percentage Neutrophil segments;blood;%;;;;;;;
Effect marker;Blood and blood composition;rdw_perc;measured;Percentage Red Cell Distribution Width (Relative distribution width (degree of variation in the volume (MCV) of the red blood cells));blood;%;;;;;;;
Effect marker;Blood and blood composition;retic;measured;Reticulocytes;blood;-;;;;;;;
Effect marker;Blood and blood composition;seg;measured;Segment kernels total;blood;-;;;;;;;
Effect marker;Blood and blood composition;thrombo;measured;Total Thrombocytes;blood;amount/µL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;apoa;measured;Apolipoprotein A;blood;g/L;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;apoa1;measured;Apolipoprotein-A1;blood;g/L;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;apoa2;measured;Lipoprotein A;blood;µg/mL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;apob100;measured;Apolipoprotein B;blood;g/L;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;chol;measured;Cholesterol;blood;mg/dL;exact_match;CHEBI:16113;HVYWMOMLDIMFJA-DPAQBDIFSA-N;;;;
Effect marker;Blood Lipids and lipid transport proteins;chol;measured;Cholesterol;cord blood;mg/dL;exact_match;CHEBI:16113;HVYWMOMLDIMFJA-DPAQBDIFSA-N;;;;
Effect marker;Blood Lipids and lipid transport proteins;hdl;measured;HDL cholesterol;blood;mg/dL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;ldl;measured;LDL cholesterol;blood;mg/dL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;lipid;measured;Gravimetric fat;breast milk;mg/dL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;lipid;measured;Gravimetric fat;blood;mg/dL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;lipid_enz;measured;Blood lipid by enzymatic calculation but calculation not specified;blood;mg/dL;;;;;;;
Effect marker;Blood Lipids and lipid transport proteins;trigl;measured;Triglycerides;cord blood;mg/dL;exact_match;CHEBI:17855;;;;;
