"sampleobsbase_id";"sampleobsbase_relatedto_id";"relation"
36308;36308;"parentcompound"
36303;36308;"parentcompound"
35941;35941;"parentcompound"
36301;36578;"parentcompound"
36326;36309;"parentcompound"
36309;36309;"parentcompound"
36299;36576;"parentcompound"
36310;36310;"parentcompound"
36522;36522;"parentcompound"
35935;36549;"parentcompound"
35934;36544;"parentcompound"
35935;36550;"parentcompound"
35844;35844;"parentcompound"
35846;35846;"parentcompound"
36241;36564;"parentcompound"
36244;36564;"parentcompound"
36243;36564;"parentcompound"
35933;36541;"parentcompound"
35934;36545;"parentcompound"
35932;36539;"parentcompound"
35935;36539;"parentcompound"
35933;36542;"parentcompound"
35934;36546;"parentcompound"
35938;36546;"parentcompound"
35935;36540;"parentcompound"
35932;36540;"parentcompound"
36306;36306;"parentcompound"
36320;36320;"parentcompound"
36300;36577;"parentcompound"
35937;36554;"parentcompound"
36298;36298;"parentcompound"
36322;36322;"parentcompound"
35933;36543;"parentcompound"
35950;35944;"parentcompound"
35943;35944;"parentcompound"
35944;35944;"parentcompound"
35934;36547;"parentcompound"
35858;35858;"parentcompound"
35852;35858;"parentcompound"
35857;36536;"parentcompound"
35856;36536;"parentcompound"
35935;36551;"parentcompound"
35939;36555;"parentcompound"
35936;36553;"parentcompound"
35728;35728;"parentcompound"
35853;35853;"parentcompound"
35855;35855;"parentcompound"
35729;35729;"parentcompound"
35755;35755;"parentcompound"
35755;36527;"parentcompound"
36238;36238;"parentcompound"
36305;36580;"parentcompound"
35854;35854;"parentcompound"
36240;36240;"parentcompound"
35730;35730;"parentcompound"
35731;35731;"parentcompound"
35732;35732;"parentcompound"
35756;35756;"parentcompound"
35756;36528;"parentcompound"
35948;35948;"parentcompound"
36312;36312;"parentcompound"
35733;35733;"parentcompound"
35734;35734;"parentcompound"
35758;35758;"parentcompound"
36317;36317;"parentcompound"
35759;35759;"parentcompound"
35736;35736;"parentcompound"
35737;35737;"parentcompound"
36503;36503;"parentcompound"
35738;35738;"parentcompound"
36504;36504;"parentcompound"
35739;35739;"parentcompound"
35740;35740;"parentcompound"
35744;35735;"parentcompound"
35735;35735;"parentcompound"
35757;35757;"parentcompound"
35757;36529;"parentcompound"
36314;36582;"parentcompound"
36425;36425;"parentcompound"
36430;36430;"parentcompound"
36431;36431;"parentcompound"
35725;36526;"parentcompound"
35726;36526;"parentcompound"
36043;36044;"parentcompound"
36048;36044;"parentcompound"
36042;36044;"parentcompound"
36044;36044;"parentcompound"
36045;36045;"parentcompound"
36046;36046;"parentcompound"
36047;36047;"parentcompound"
36252;36252;"parentcompound"
36049;36049;"parentcompound"
36050;36050;"parentcompound"
35751;35741;"parentcompound"
35745;35741;"parentcompound"
35746;35741;"parentcompound"
35741;35741;"parentcompound"
36412;36432;"parentcompound"
36432;36432;"parentcompound"
35862;35862;"parentcompound"
36021;35995;"parentcompound"
36007;35995;"parentcompound"
35994;35995;"parentcompound"
35992;35995;"parentcompound"
35993;35995;"parentcompound"
35957;35951;"parentcompound"
35954;35951;"parentcompound"
35945;35951;"parentcompound"
35952;35951;"parentcompound"
35953;35951;"parentcompound"
35955;35951;"parentcompound"
35958;35951;"parentcompound"
35951;35951;"parentcompound"
35956;35951;"parentcompound"
36402;36433;"parentcompound"
36403;36433;"parentcompound"
36433;36433;"parentcompound"
36401;36433;"parentcompound"
36524;36614;"parentcompound"
36417;36434;"parentcompound"
36434;36434;"parentcompound"
36435;36435;"parentcompound"
36436;36436;"parentcompound"
36437;36437;"parentcompound"
36418;36437;"parentcompound"
36438;36438;"parentcompound"
36439;36439;"parentcompound"
36440;36440;"parentcompound"
36441;36441;"parentcompound"
36499;36506;"parentcompound"
36506;36506;"parentcompound"
36507;36507;"parentcompound"
36508;36508;"parentcompound"
36513;36509;"parentcompound"
36507;36509;"parentcompound"
36500;36509;"parentcompound"
36509;36509;"parentcompound"
36510;36510;"parentcompound"
36511;36511;"parentcompound"
36512;36512;"parentcompound"
36335;36593;"parentcompound"
35867;35867;"parentcompound"
35934;36548;"parentcompound"
35869;35869;"parentcompound"
35935;36552;"parentcompound"
35769;35769;"parentcompound"
35770;35770;"parentcompound"
35771;35771;"parentcompound"
35772;35772;"parentcompound"
35773;35773;"parentcompound"
35774;35774;"parentcompound"
35775;35775;"parentcompound"
36255;36255;"parentcompound"
36297;36255;"parent compound"
36379;36357;"parentcompound"
36000;36000;"parentcompound"
36328;36584;"parentcompound"
36228;36560;"parentcompound"
36338;36560;"parentcompound"
36247;36256;"parentcompound"
36256;36256;"parentcompound"
36247;36257;"parentcompound"
36296;36257;"parentcompound"
36272;36572;"parentcompound"
36271;36572;"parentcompound"
36270;36572;"parentcompound"
36268;36571;"parentcompound"
36267;36571;"parentcompound"
36266;36571;"parentcompound"
36004;36004;"parentcompound"
36011;36004;"parentcompound"
36032;36004;"parentcompound"
36404;36445;"parentcompound"
36424;36445;"parentcompound"
36445;36445;"parentcompound"
36051;36051;"parentcompound"
36446;36446;"parentcompound"
36331;36586;"parentcompound"
36334;36586;"parentcompound"
36332;36589;"parentcompound"
36335;36589;"parentcompound"
36331;36587;"parentcompound"
36332;36587;"parentcompound"
36261;36570;"parentcompound"
36286;36574;"parentcompound"
36287;36574;"parentcompound"
35870;35870;"parentcompound"
35871;35871;"parentcompound"
35872;35872;"parentcompound"
35873;35873;"parentcompound"
36332;36566;"parentcompound"
36246;36566;"parentcompound"
36336;36566;"parentcompound"
36053;36053;"parentcompound"
36057;36053;"parentcompound"
36055;36053;"parentcompound"
36054;36053;"parentcompound"
36052;36053;"parentcompound"
36056;36053;"parentcompound"
36041;36053;"parentcompound"
36368;36604;"parentcompound"
36366;36604;"parentcompound"
36364;36604;"parentcompound"
36342;36598;"parentcompound"
36343;36598;"parentcompound"
36345;36598;"parentcompound"
36344;36598;"parentcompound"
36341;36598;"parentcompound"
36347;36599;"parentcompound"
36383;36599;"parentcompound"
36353;36601;"parentcompound"
36351;36601;"parentcompound"
36361;36601;"parentcompound"
36394;36601;"parentcompound"
35823;36534;"parentcompound"
35822;36534;"parentcompound"
35824;36534;"parentcompound"
35825;36534;"parentcompound"
36354;36602;"parentcompound"
36387;36602;"parentcompound"
36356;36602;"parentcompound"
36355;36602;"parentcompound"
36384;36609;"parentcompound"
36385;36610;"parentcompound"
36388;36360;"parentcompound"
36349;36360;"parentcompound"
36348;36360;"parentcompound"
36378;36607;"parentcompound"
