"sampleobscore_id";"category_key"
33299;"Acrylamide"
33298;"Acrylamide"
33289;"Acrylamide"
33293;"Anilines and MOCA"
32855;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33294;"Pesticides"
32857;"Pesticides"
32971;"Pesticides"
32856;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32858;"Lab markers for cardiometabolic health and metabolic diseases"
32755;"Flame retardants"
32745;"Liver function"
32853;"Mycotoxins"
32854;"Mycotoxins"
32859;"Mycotoxins"
32860;"Mycotoxins"
32861;"Mycotoxins"
32862;"Mycotoxins"
32863;"Mycotoxins"
32881;"Metals"
32867;"Pesticides"
33460;"Musks"
32871;"Metals"
32768;"Herbicides"
32744;"Pesticides"
32743;"Herbicides"
33292;"Aprotic solvents"
32870;"Mycotoxins"
33431;"Aprotic solvents"
33295;"Anilines and MOCA"
32873;"Pesticides"
32875;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32753;"Anilines and MOCA"
32869;"Mycotoxins"
32878;"Blood Lipids and lipid transport proteins"
32880;"Blood Lipids and lipid transport proteins"
33224;"Blood Lipids and lipid transport proteins"
32879;"Blood Lipids and lipid transport proteins"
32609;"Blood Lipids and lipid transport proteins"
32883;"Metals"
32886;"Metals"
32885;"Metals"
32884;"Metals"
32888;"Herbicides"
32887;"Herbicides"
33074;"Metals"
33491;"Mycotoxins"
33498;"Mycotoxins"
33497;"Mycotoxins"
32945;"Metals"
32890;"Metals"
32892;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32775;"Glycol ethers"
32893;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33504;"Blood and blood composition"
32891;"Blood and blood composition"
32894;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32611;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32784;"Flame retardants"
32917;"Flame retardants"
32948;"Phthalates"
32918;"Flame retardants"
32895;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32716;"Flame retardants"
32915;"Flame retardants"
32896;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32914;"Flame retardants"
33354;"Flame retardants"
33357;"Flame retardants"
32610;"Flame retardants"
32732;"Flame retardants"
32733;"Flame retardants"
33240;"Flame retardants"
33363;"Flame retardants"
33362;"Flame retardants"
33364;"Flame retardants"
33370;"Flame retardants"
33351;"Flame retardants"
33355;"Flame retardants"
33356;"Flame retardants"
33237;"Flame retardants"
33239;"Flame retardants"
33365;"Flame retardants"
33366;"Flame retardants"
33367;"Flame retardants"
33368;"Flame retardants"
33369;"Flame retardants"
33231;"Flame retardants"
33353;"Flame retardants"
33359;"Flame retardants"
32889;"<TODO: nog aan te vullen effect>"
32910;"Metals"
32919;"Flame retardants"
32909;"Parabens"
32897;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32898;"Polycyclic Aromatic Hydrocarbons (PAHs)"
