"sampleobscore_id";"sampleobscore_key";"varname";"sort";"vartype_key";"datatype_key";"relatedvarnames";"vartypedetail_key";"label_en";"name_en";"label_nl";"name_nl";"zeroallowed";"significantdecimals";"formula";"samplegroup_key";"unit_key";"extensions";"sampleobsprop_id"
29000;"bloodtype";"bloodtype";1101;"measured";"character";;"measured";"";"Bloodgroup";"";"Bloedgroep";;;"";"blood";"-";"";"50507"
29001;"rhesusd";"rhesusd";1121;"measured";"character";;"measured";"";"Rhesus D";"";"Rhesus D";;;"";"blood";"-";"";"52232"
29002;"rhesusform";"rhesusform";1109;"measured";"character";;"measured";"";"Rhesus Formula";"";"Rhesusformule";;;"";"blood";"-";"";"52233"
29003;"morf";"morf";1123;"measured";"character";;"measured";"";"Morphology RBC / WBC / PLT";"Morfologie";"Morfologie rode, witte bloedcellen en bloedplaatjes (RBC/WBC/PLT)";;;"";"blood";"-";"";"51506"
29004;"apor";"apor";210;"derived";"decimal";"apob100;apoa";"derived formula";"";"Apolipoprotein B / Apolipoprotein A";"APOR";"Apolipoprotein B / Apolipoprotein A";;;"apob100 [g/L] / apoa [g/L]";"blood";"-";"";"50340"
29005;"bde197";"bde197";10793;"measured";"decimal";;"measured";"BDE-197";"2,2',3,3',4,4',6,6'-Octabromodiphenyl ether";"BDE-197";"2,2',3,3',4,4',6,6'-octabroomdifenylether";;;"";"blood";"µg/L";"lip";"50412"
29006;"bbfabkfa";"bbfabkfa";110350;"derived";"decimal";"bbfa;bkfa";"derived formula";"";"Benzo[b]fluoranthene + Benzo[k]fluoranthene";"";"Benzo[b]fluoranthene + Benzo[k]fluoranthene";0;;"bbfa [µg/L] + bkfa [µg/L]";"urine";"µg/L";"crt;sg";"50382"
29007;"bpfds";"bpfds";10655;"derived";"decimal";"lbpfds;pfds";"derived formula";"B-PFDS";"Branched Perfluorodecane sulfonic acid";"B-PFDS";"Vertakt Perfluoro-n-decaansulfonzuur";;;"lbpfds [µg/L] - pfds [µg/L]";"blood";"µg/L";"";"50519"
29007;"bpfds";"bpfds";10655;"derived";"decimal";"lbpfds;pfds";"derived formula";"B-PFDS";"Branched Perfluorodecane sulfonic acid";"B-PFDS";"Vertakt Perfluoro-n-decaansulfonzuur";;;"lbpfds [µg/L] - pfds [µg/L]";"urine";"µg/L";"crt;sg";"50518"
29008;"bpfhxs";"bpfhxs";10655;"derived";"decimal";"lbpfhxs;pfhxs";"derived formula";"B-PFHxS";"Branched Perfluorohexane sulfonic acid";"B-PFHxS";"Vertakt Perfluoro-n-hexaansulfonzuur";;;"lbpfhxs [µg/L] - pfhxs [µg/L]";"urine";"µg/L";"crt;sg";"50520"
29008;"bpfhxs";"bpfhxs";10655;"derived";"decimal";"lbpfhxs;pfhxs";"derived formula";"B-PFHxS";"Branched Perfluorohexane sulfonic acid";"B-PFHxS";"Vertakt Perfluoro-n-hexaansulfonzuur";;;"lbpfhxs [µg/L] - pfhxs [µg/L]";"blood";"µg/L";"";"50521"
29009;"bpfhxs_perc";"bpfhxs_perc";10657;"derived";"decimal";"bpfhxs;lbpfhxs";"derived formula";"% B-PFHxS";"Percentage Branched Perfluorohexane sulfonic acid";"%B-PFHxS";"Percentage Vertakt Perfluoro-n-hexaansulfonzuur";;;"round( bpfhxs [µg/L] / lbpfhxs [µg/L] * 100,2)";"urine";"µg/L";"crt;sg";"50522"
29009;"bpfhxs_perc";"bpfhxs_perc";10657;"derived";"decimal";"bpfhxs;lbpfhxs";"derived formula";"% B-PFHxS";"Percentage Branched Perfluorohexane sulfonic acid";"%B-PFHxS";"Percentage Vertakt Perfluoro-n-hexaansulfonzuur";;;"round( bpfhxs [µg/L] / lbpfhxs [µg/L] * 100,2)";"blood";"%";"";"50523"
