"sampleobsprop_id";"projectname";"unit_key";"sampletype_key";"stakeholder_key"
59651;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59651;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59651;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59651;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59653;"HBM4EU Aligned studies";"µg/mL";"blood serum";"Parc"
59653;"HBM4EU Aligned studies";"µg/mL";"blood serum";"Parc"
59653;"HBM4EU Aligned studies";"µg/mL";"blood plasma";"Parc"
59653;"HBM4EU Aligned studies";"µg/mL";"blood plasma";"Parc"
59654;"HBM4EU Existing studies";"µg/L";"blood serum";"Parc"
59654;"HBM4EU Existing studies";"µg/L";"blood serum";"Parc"
59654;"HBM4EU Aligned studies";"µg/L";"blood plasma";"Parc"
59654;"HBM4EU Aligned studies";"µg/L";"blood plasma";"Parc"
59654;"HBM4EU Aligned studies";"µg/L";"blood serum";"Parc"
59654;"HBM4EU Aligned studies";"µg/L";"blood serum";"Parc"
59654;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
59654;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
59654;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59654;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59654;"Parc dummy project";"µg/L";;"Parc"
59657;"ZWPFASPhase2";"IU/L";"blood serum";"FHBM"
59657;"ZWPFASPhase2";"IU/L";"blood serum";"FHBM"
59665;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59665;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59680;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59680;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59684;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59685;"HBM4EU Existing studies";"µg/L";"blood-whole blood";"Parc"
59685;"HBM4EU Existing studies";"µg/L";"blood-whole blood";"Parc"
59685;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59685;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59687;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59687;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59692;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59692;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
59692;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
59692;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
