"sampleobsprop_id";"statsuse";"statswhat";"statsvalue";"statsprovenance_source";"statsprovenance_who";"samplegroup_key";"sampletype_key";"statsprovenance_source_detail";"statsprovenance_source_info";"varname"
52604;1;"p50";23.55;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"aama"
52604;1;"p95";286;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
52604;1;"p95";66.765;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"aama"
52604;1;"p95";221.94;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"aama"
52604;1;"p50";61.6;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"aama"
52604;1;"p50";71.355;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
52604;1;"p95";273.059;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
52604;1;"p50";72.2;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
52606;1;"p50";35.57;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aamasulf"
52606;1;"p95";116.3928;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aamasulf"
52612;1;"p50";0.0014;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"ace"
52612;1;"p95";0.0028;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"ace"
52614;1;"p95";1.65645;"country studies";"Hans Mol (Wageningen University)";"urine";;"SPRINT study from NL";"";"acetamipridndes"
52614;1;"p50";0.5545;"country studies";"Hans Mol (Wageningen University)";"urine";;"SPRINT study from NL";"";"acetamipridndes"
52616;1;"p50";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"achlor"
52616;1;"p95";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"achlor"
52617;1;"p95";0.0022;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"acy"
52617;1;"p50";0.0015;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"acy"
52618;1;"p95";22.553;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adipon"
52618;1;"p50";12.424;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adipon"
52618;1;"p95";10.22;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adipon"
52618;1;"p50";6.1;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adipon"
52620;1;"p50";0.004;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
52620;1;"p95";0.03235;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
52620;1;"p50";0.01175;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adp"
52620;1;"p95";0.07033;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
52620;1;"p95";0.162415;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adp"
