"sampleobsprop_id";"projectname";"unit_key";"sampletype_key";"stakeholder_key"
61999;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
61999;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
61999;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
61999;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62001;"HBM4EU Aligned studies";"µg/mL";"blood serum";"Parc"
62001;"HBM4EU Aligned studies";"µg/mL";"blood serum";"Parc"
62001;"HBM4EU Aligned studies";"µg/mL";"blood plasma";"Parc"
62001;"HBM4EU Aligned studies";"µg/mL";"blood plasma";"Parc"
62002;"HBM4EU Existing studies";"µg/L";"blood serum";"Parc"
62002;"HBM4EU Existing studies";"µg/L";"blood serum";"Parc"
62002;"HBM4EU Aligned studies";"µg/L";"blood plasma";"Parc"
62002;"HBM4EU Aligned studies";"µg/L";"blood plasma";"Parc"
62002;"HBM4EU Aligned studies";"µg/L";"blood serum";"Parc"
62002;"HBM4EU Aligned studies";"µg/L";"blood serum";"Parc"
62002;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
62002;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
62002;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62002;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62002;"Parc dummy project";"µg/L";;"Parc"
62005;"ZWPFASPhase2";"IU/L";"blood serum";"FHBM"
62005;"ZWPFASPhase2";"IU/L";"blood serum";"FHBM"
62013;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62013;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62028;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62028;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood plasma";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62032;"Parc Mixtures project";"µg/L";"blood serum";"Parc"
62033;"HBM4EU Existing studies";"µg/L";"blood-whole blood";"Parc"
62033;"HBM4EU Existing studies";"µg/L";"blood-whole blood";"Parc"
62033;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62033;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
62035;"Parc Mixtures project";"µg/L";"blood-whole blood";"Parc"
