"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"sampleobsbase_key";"sampleobsbase_name";"sampleobsbase_label"
"en";"Parc";"Exposure marker";"Acrylamide";"Acrylamide";"aama";"aama";"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"AAMA";"HBM4EU";"parentcompound=Acrylamide";"decimal";"urine";"measured";12000;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;57.17625;211.941;"";"81690-92-8";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";10000;"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"AAMA"
"en";"Parc";"Exposure marker";"Acrylamide";"Acrylamide";"aamasulf";"aamasulf";"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"AAMA-sulf";"HBM4EU";"parentcompound=Acrylamide";"decimal";"urine";"measured";12004;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;35.57;116.3928;"";"861959-88-8";"";"";"";;"HBM4EU Existing studies";10000;"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"AAMA-sulf"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"ace";"ace";"Acenaphthene";"ACE";"HBM4EU";"parentcompound=Acenaphthene (ACE) (casnumber=83-32-9)";"decimal";"urine";"measured";11248;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0014;0.0028;"";"83-32-9";"CWRYPZZKDGJXCA-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Acenaphthene";"Acenaphthene";"ACE"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"acetamiprid";"acetamiprid";"N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide";"Acetamiprid";"Parc";"parentcompound=N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide (Acetamiprid) (casnumber=160430-64-8)";"decimal";"urine";"measured";13047;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"160430-64-8";"WCXDHFDTOYPNIE-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1008;"N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide";"N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide";"Acetamiprid"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"acetamipridndes";"acetamipridndes";"Acetamiprid-N-desmethyl";"Acetamiprid-N-desmethyl";"Parc";"parentcompound=N-[(6-chloropyridin-3-yl)methyl]-N'-cyano-N-methylethanimidamide (Acetamiprid) (casnumber=160430-64-8)";"decimal";"urine";"measured";13007;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.5545;1.65645;"";"190604-92-3";"AYEAUPRZTZWBBF-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1008;"Acetamiprid-N-desmethyl";"Acetamiprid-N-desmethyl";"Acetamiprid-N-desmethyl"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"achlor";"achlor";"Cis-chlordane";"α-chlordane";"Parc";;"decimal";"blood";"measured";12550;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.01;0.01;"";"5103-71-9";"BIWJNBZANLAXMG-KMMBHOGFSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/alpha-chlordane";;"Parc Mixtures project";1008;"Cis-chlordane";"Cis-chlordane";"α-chlordane"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"acy";"acy";"Acenaphthylene";"ACY";"HBM4EU";"parentcompound=Acenaphthylene (ACY) (casnumber=208-96-8)";"decimal";"urine";"measured";11249;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0015;0.0022;"";"208-96-8";"HXGDTGSAIMULJN-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Acenaphthylene";"Acenaphthylene";"ACY"
"en";"Parc";"Effect marker";"Cardiometabolic parameters";"";"adipon";"adipon";"Adiponectine";;"HBM4EU";;"decimal";"blood";"measured";205;"µg/mL";"µg/mL";"µg/mL";"µg/mL";;"";"";0;;;9.262;16.3865;"";"";"";"";"";;"HBM4EU Aligned studies";421;"Adiponectine";"Adiponectine";""
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"adp";"adp";"Anti-dechlorane plus";"Anti-DP";"HBM4EU";"parentcompound=Anti-dechlorane plus (Anti-DP) (casnumber=135821-74-8)";"decimal";"urine";"measured";10702;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"135821-74-8";"";"";"";653.73;"Parc dummy project;Parc Mixtures project";1004;"Anti-dechlorane plus";"Anti-dechlorane plus";"Anti-DP"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"adp";"adp";"Anti-dechlorane plus";"Anti-DP";"HBM4EU";"parentcompound=Anti-dechlorane plus (Anti-DP) (casnumber=135821-74-8)";"decimal";"blood";"measured";10702;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";0;;;0.007875;0.088365;"";"135821-74-8";"";"";"";653.73;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1004;"Anti-dechlorane plus";"Anti-dechlorane plus";"Anti-DP"
