"samplegroup_key";"lingo";"samplegroup_name"
"adipose tissue/fat";"nl";"vetweefsel/vet"
"adipose tissue/fat";"en";"adipose tissue/fat"
"air";"nl";"lucht"
"air";"en";"air"
"amniotic fluid";"nl";"vruchtwater"
"amniotic fluid";"en";"amniotic fluid"
"blood";"en";"blood"
"blood";"nl";"bloed"
"bloodcells";"nl";"bloedcellen"
"bloodcells";"en";"blood cells"
"breast milk";"nl";"moedermelk"
"breast milk";"en";"breast milk"
"cord blood";"nl";"navelstrengbloed"
"cord blood";"en";"cord blood"
"cord blood-cells";"nl";"navelstrengbloedcellen"
"cord blood-cells";"en";"cord blood-cells"
"dermal wipes";"nl";"dermale doekjes"
"dermal wipes";"en";"dermal wipes"
"exhaled breath condensate";"nl";"uitgeademde adem condensaat"
"exhaled breath condensate";"en";"exhaled breath condensate"
"food";"nl";"voedsel"
"food";"en";"food"
"hair";"nl";"haar"
"hair";"en";"hair"
"nail";"nl";"nagel"
"nail";"en";"nail"
"nasal mucus";"en";"nasal mucus"
"nasal mucus";"nl";"neusslijm"
"placenta tissue";"en";"placenta tissue"
"placenta tissue";"nl";"weefsel van navelstreng"
"saliva/sputum";"nl";"speeksel"
"saliva/sputum";"en";"saliva/sputum"
"semen";"nl";"sperma"
"semen";"en";"semen"
"soil";"nl";"grond"
"soil";"en";"soil"
"stool";"nl";"stoelgang"
"stool";"en";"stool"
"umbilical cord tissue";"en";"umbilical cord tissue"
"umbilical cord tissue";"nl";"navelstrengweefsel"
"urine";"en";"urine"
"urine";"nl";"urine"
"water";"en";"water"
"water";"nl";"water"
