"samplegroup_key";"lingo";"samplegroup_name";"sampletype_key";"sampletype_initials";"sampletype_sort";"sampletype_name"
"adipose tissue/fat";"nl";"vetweefsel/vet";"adipose tissue/fat";"adi";25;"vetweefsel/vet"
"adipose tissue/fat";"en";"adipose tissue/fat";"adipose tissue/fat";"adi";25;"adipose tissue/fat"
"nail";"en";"nail";"All toe nail";"atn";17;"all toe nails"
"nail";"nl";"nagel";"All toe nail";"atn";17;"alle teennagels"
"amniotic fluid";"en";"amniotic fluid";"amniotic fluid";"af";27;"amniotic fluid"
"amniotic fluid";"nl";"vruchtwater";"amniotic fluid";"af";27;"vruchtwater"
"nail";"nl";"nagel";"Big toe nail";"btn";18;"grote teen nagel"
"nail";"en";"nail";"Big toe nail";"btn";18;"big toe nail"
"bloodcells";"en";"blood cells";"blood-blood cells";"bbc";4;"blood-blood cells"
"bloodcells";"nl";"bloedcellen";"blood-blood cells";"bbc";4;"bloed-bloedcellen"
"blood";"nl";"bloed";"blood-whole blood";"bwb";1;"bloed-volbloed"
"blood";"en";"blood";"blood-whole blood";"bwb";1;"blood-whole blood"
"bloodcells";"nl";"bloedcellen";"blood - red blood cells";"rbc";5;"bloed-rode bloedcellen"
"bloodcells";"en";"blood cells";"blood - red blood cells";"rbc";5;"blood-red blood cells"
"blood";"en";"blood";"blood plasma";"bp";3;"blood plasma"
"blood";"nl";"bloed";"blood plasma";"bp";3;"bloed-plasma"
"blood";"nl";"bloed";"blood serum";"bs";2;"bloed-serum"
"blood";"en";"blood";"blood serum";"bs";2;"blood serum"
"breast milk";"en";"breast milk";"breast milk";"bm";14;"breast milk"
"breast milk";"nl";"moedermelk";"breast milk";"bm";14;"moedermelk"
"cord blood-cells";"nl";"navelstrengbloedcellen";"cord blood-cells";"cbbc";9;"navelstrengbloed-bloed cellen"
"cord blood-cells";"en";"cord blood-cells";"cord blood-cells";"cbbc";9;"umbilical cord blood-cells"
"cord blood";"nl";"navelstrengbloed";"cord blood-plasma";"cbp";8;"navelstrengbloed-plasma"
"cord blood";"en";"cord blood";"cord blood-plasma";"cbp";8;"umbilical cord blood-plasma"
"cord blood";"nl";"navelstrengbloed";"cord blood-serum";"cbs";7;"navelstrengbloed-serum"
"cord blood";"en";"cord blood";"cord blood-serum";"cbs";7;"umbilical cord blood-serum"
