"sampleobsbase_id";"sampleobsbase_relatedto_id";"relation"
19259;19259;"parentcompound"
19807;19807;"parentcompound"
19253;19836;"parentcompound"
19252;19831;"parentcompound"
19253;19837;"parentcompound"
19162;19162;"parentcompound"
19164;19164;"parentcompound"
19558;19852;"parentcompound"
19561;19852;"parentcompound"
19560;19852;"parentcompound"
19134;19819;"parentcompound"
19135;19820;"parentcompound"
19251;19828;"parentcompound"
19252;19832;"parentcompound"
19253;19826;"parentcompound"
19250;19826;"parentcompound"
19251;19829;"parentcompound"
19252;19833;"parentcompound"
19256;19833;"parentcompound"
19253;19827;"parentcompound"
19250;19827;"parentcompound"
19255;19841;"parentcompound"
19251;19830;"parentcompound"
19268;19262;"parentcompound"
19262;19262;"parentcompound"
19261;19262;"parentcompound"
19252;19834;"parentcompound"
19170;19176;"parentcompound"
19176;19176;"parentcompound"
19175;19823;"parentcompound"
19174;19823;"parentcompound"
19253;19838;"parentcompound"
19257;19842;"parentcompound"
19254;19840;"parentcompound"
19033;19033;"parentcompound"
19034;19033;"parentcompound"
19041;19041;"parentcompound"
19171;19171;"parentcompound"
19173;19173;"parentcompound"
19042;19042;"parentcompound"
19068;19068;"parentcompound"
19068;19812;"parentcompound"
19136;19812;"parentcompound"
19555;19555;"parentcompound"
19172;19172;"parentcompound"
19557;19557;"parentcompound"
19043;19043;"parentcompound"
19044;19044;"parentcompound"
19045;19045;"parentcompound"
19069;19069;"parentcompound"
19069;19813;"parentcompound"
19137;19813;"parentcompound"
19266;19266;"parentcompound"
19046;19046;"parentcompound"
19047;19047;"parentcompound"
19071;19071;"parentcompound"
19072;19072;"parentcompound"
19049;19049;"parentcompound"
19050;19050;"parentcompound"
19788;19788;"parentcompound"
19051;19051;"parentcompound"
19789;19789;"parentcompound"
19052;19052;"parentcompound"
19053;19053;"parentcompound"
19048;19048;"parentcompound"
19057;19048;"parentcompound"
19070;19070;"parentcompound"
19070;19814;"parentcompound"
19139;19814;"parentcompound"
19138;19814;"parentcompound"
19710;19710;"parentcompound"
19715;19715;"parentcompound"
19716;19716;"parentcompound"
19038;19811;"parentcompound"
19039;19811;"parentcompound"
19360;19361;"parentcompound"
19359;19361;"parentcompound"
19365;19361;"parentcompound"
19361;19361;"parentcompound"
19362;19362;"parentcompound"
19363;19363;"parentcompound"
19364;19364;"parentcompound"
19569;19569;"parentcompound"
19366;19366;"parentcompound"
19367;19367;"parentcompound"
19064;19054;"parentcompound"
19058;19054;"parentcompound"
19054;19054;"parentcompound"
19059;19054;"parentcompound"
19697;19717;"parentcompound"
19717;19717;"parentcompound"
19180;19180;"parentcompound"
19310;19843;"parentcompound"
19312;19843;"parentcompound"
19311;19843;"parentcompound"
19324;19843;"parentcompound"
19338;19843;"parentcompound"
19273;19269;"parentcompound"
19270;19269;"parentcompound"
19263;19269;"parentcompound"
19272;19269;"parentcompound"
19269;19269;"parentcompound"
19276;19269;"parentcompound"
19271;19269;"parentcompound"
19275;19269;"parentcompound"
19274;19269;"parentcompound"
19686;19718;"parentcompound"
19688;19718;"parentcompound"
19687;19718;"parentcompound"
19718;19718;"parentcompound"
19809;19895;"parentcompound"
19702;19719;"parentcompound"
19719;19719;"parentcompound"
19720;19720;"parentcompound"
19721;19721;"parentcompound"
19703;19722;"parentcompound"
19722;19722;"parentcompound"
19723;19723;"parentcompound"
19724;19724;"parentcompound"
19725;19725;"parentcompound"
19726;19726;"parentcompound"
19791;19791;"parentcompound"
19784;19791;"parentcompound"
19792;19792;"parentcompound"
19793;19793;"parentcompound"
19785;19794;"parentcompound"
19794;19794;"parentcompound"
19792;19794;"parentcompound"
19798;19794;"parentcompound"
19795;19795;"parentcompound"
19796;19796;"parentcompound"
19797;19797;"parentcompound"
19620;19874;"parentcompound"
19185;19185;"parentcompound"
19252;19835;"parentcompound"
19187;19187;"parentcompound"
19253;19839;"parentcompound"
19082;19082;"parentcompound"
19083;19083;"parentcompound"
19084;19084;"parentcompound"
19085;19085;"parentcompound"
19086;19086;"parentcompound"
19087;19087;"parentcompound"
19088;19088;"parentcompound"
19572;19572;"parentcompound"
19664;19642;"parentcompound"
19317;19317;"parentcompound"
19613;19865;"parentcompound"
19623;19848;"parentcompound"
19545;19848;"parentcompound"
19564;19573;"parentcompound"
19573;19573;"parentcompound"
19564;19574;"parentcompound"
19588;19860;"parentcompound"
19589;19860;"parentcompound"
19587;19860;"parentcompound"
19585;19859;"parentcompound"
19583;19859;"parentcompound"
19584;19859;"parentcompound"
19321;19321;"parentcompound"
19328;19321;"parentcompound"
19349;19321;"parentcompound"
19689;19730;"parentcompound"
19730;19730;"parentcompound"
19709;19730;"parentcompound"
19368;19368;"parentcompound"
19731;19731;"parentcompound"
19616;19867;"parentcompound"
19619;19867;"parentcompound"
19617;19870;"parentcompound"
19620;19870;"parentcompound"
19616;19868;"parentcompound"
19617;19868;"parentcompound"
19578;19858;"parentcompound"
19603;19863;"parentcompound"
19604;19863;"parentcompound"
19188;19188;"parentcompound"
19189;19189;"parentcompound"
19190;19190;"parentcompound"
19191;19191;"parentcompound"
19617;19854;"parentcompound"
19621;19854;"parentcompound"
19563;19854;"parentcompound"
19374;19370;"parentcompound"
19373;19370;"parentcompound"
19370;19370;"parentcompound"
19358;19370;"parentcompound"
19372;19370;"parentcompound"
19371;19370;"parentcompound"
19369;19370;"parentcompound"
19649;19885;"parentcompound"
19651;19885;"parentcompound"
19653;19885;"parentcompound"
19628;19879;"parentcompound"
19626;19879;"parentcompound"
19630;19879;"parentcompound"
19627;19879;"parentcompound"
19629;19879;"parentcompound"
19632;19880;"parentcompound"
19668;19880;"parentcompound"
19646;19882;"parentcompound"
19636;19882;"parentcompound"
19638;19882;"parentcompound"
19679;19882;"parentcompound"
19143;19821;"parentcompound"
19141;19821;"parentcompound"
19142;19821;"parentcompound"
19140;19821;"parentcompound"
19672;19883;"parentcompound"
19641;19883;"parentcompound"
19640;19883;"parentcompound"
19639;19883;"parentcompound"
19669;19890;"parentcompound"
19670;19891;"parentcompound"
19673;19645;"parentcompound"
19634;19645;"parentcompound"
19633;19645;"parentcompound"
19674;19888;"parentcompound"
19663;19888;"parentcompound"
19667;19888;"parentcompound"
19675;19887;"parentcompound"
19661;19887;"parentcompound"
19662;19887;"parentcompound"
19676;19893;"parentcompound"
19660;19886;"parentcompound"
19677;19886;"parentcompound"
19678;19894;"parentcompound"
19647;19884;"parentcompound"
19652;19884;"parentcompound"
19650;19884;"parentcompound"
19648;19884;"parentcompound"
19654;19884;"parentcompound"
19637;19881;"parentcompound"
19658;19881;"parentcompound"
19655;19881;"parentcompound"
19635;19881;"parentcompound"
19657;19881;"parentcompound"
19656;19881;"parentcompound"
19659;19881;"parentcompound"
19375;19375;"parentcompound"
19732;19732;"parentcompound"
19733;19733;"parentcompound"
19734;19734;"parentcompound"
19735;19735;"parentcompound"
19547;19548;"parentcompound"
19548;19548;"parentcompound"
19665;19889;"parentcompound"
19666;19643;"parentcompound"
19588;19861;"parentcompound"
19587;19861;"parentcompound"
19589;19861;"parentcompound"
19671;19892;"parentcompound"
19544;19847;"parentcompound"
19551;19850;"parentcompound"
19552;19850;"parentcompound"
19618;19873;"parentcompound"
19404;19844;"parentcompound"
19614;19866;"parentcompound"
19617;19871;"parentcompound"
19618;19872;"parentcompound"
19617;19872;"parentcompound"
19595;19862;"parentcompound"
19736;19736;"parentcompound"
19698;19737;"parentcompound"
19705;19737;"parentcompound"
19713;19737;"parentcompound"
19737;19737;"parentcompound"
19381;19376;"parentcompound"
19376;19376;"parentcompound"
19377;19377;"parentcompound"
19378;19378;"parentcompound"
19379;19379;"parentcompound"
19037;19810;"parentcompound"
19571;19596;"parentcompound"
19596;19596;"parentcompound"
19555;19851;"parentcompound"
19557;19851;"parentcompound"
19193;19193;"parentcompound"
19194;19194;"parentcompound"
19195;19195;"parentcompound"
19196;19196;"parentcompound"
19197;19197;"parentcompound"
19555;19624;"parentcompound"
19557;19624;"parentcompound"
19549;19849;"parentcompound"
19546;19849;"parentcompound"
19198;19198;"parentcompound"
19380;19380;"parentcompound"
19738;19738;"parentcompound"
19331;19331;"parentcompound"
19432;19432;"parentcompound"
19433;19433;"parentcompound"
19434;19434;"parentcompound"
19435;19435;"parentcompound"
19436;19436;"parentcompound"
19412;19436;"branched version of"
19437;19437;"parentcompound"
19438;19438;"parentcompound"
19439;19439;"parentcompound"
19440;19440;"parentcompound"
19441;19441;"parentcompound"
19442;19442;"parentcompound"
19443;19443;"parentcompound"
19444;19444;"parentcompound"
19445;19445;"parentcompound"
19446;19446;"parentcompound"
19447;19447;"parentcompound"
19414;19449;"branched version of"
19449;19449;"parentcompound"
19450;19450;"parentcompound"
19448;19448;"parentcompound"
19413;19448;"branched version of"
19415;19451;"branched version of"
19451;19451;"parentcompound"
19452;19452;"parentcompound"
19416;19454;"branched version of"
19454;19454;"parentcompound"
19455;19455;"parentcompound"
19456;19456;"parentcompound"
19457;19457;"parentcompound"
19458;19458;"parentcompound"
19474;19474;"parentcompound"
19477;19477;"parentcompound"
19478;19478;"parentcompound"
19453;19453;"parentcompound"
19417;19459;"branched version of"
19459;19459;"parentcompound"
19460;19460;"parentcompound"
19461;19461;"parentcompound"
19462;19462;"parentcompound"
19418;19462;"branched version of"
19419;19463;"branched version of"
19463;19463;"parentcompound"
19464;19464;"parentcompound"
19465;19465;"parentcompound"
19466;19466;"parentcompound"
19420;19466;"branched version of"
19467;19467;"parentcompound"
19421;19467;"branched version of"
19422;19468;"branched version of"
19468;19468;"parentcompound"
19469;19469;"parentcompound"
19423;19470;"branched version of"
19470;19470;"parentcompound"
19471;19471;"parentcompound"
19424;19472;"branched version of"
19472;19472;"parentcompound"
19473;19473;"parentcompound"
19475;19475;"parentcompound"
19425;19476;"branched version of"
19476;19476;"parentcompound"
19479;19479;"parentcompound"
19426;19480;"branched version of"
19480;19480;"parentcompound"
19481;19481;"parentcompound"
19427;19482;"branched version of"
19482;19482;"parentcompound"
