"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"category_key"
"en";"Parc";"Exposure marker";"Acrylamide";"Acrylamide";"aama";"aama";"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"AAMA";"HBM4EU";"parentcompound(s) = Acrylamide";"decimal";"urine";"measured";12000;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;57.17625;211.941;"";"81690-92-8";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";10000;"Acrylamide"
"en";"Parc";"Exposure marker";"Acrylamide";"Acrylamide";"aamasulf";"aamasulf";"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"AAMA-sulf";"HBM4EU";"parentcompound(s) = Acrylamide";"decimal";"urine";"measured";12004;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;35.57;116.3928;"";"861959-88-8";"";"";"";;"HBM4EU Existing studies";10000;"Acrylamide"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"ace";"ace";"Acenaphthene";"ACE";"HBM4EU";"parentcompound(s) = Acenaphthene (ACE) (casnumber=83-32-9)";"decimal";"urine";"measured";11248;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0014;0.0028;"";"83-32-9";"CWRYPZZKDGJXCA-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"achlor";"achlor";"Cis-chlordane";"α-chlordane";"Parc";;"decimal";"blood";"measured";12550;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.01;0.01;"";"5103-71-9";"BIWJNBZANLAXMG-KMMBHOGFSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/alpha-chlordane";;"Parc Mixtures project";1008;"Pesticides"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"acy";"acy";"Acenaphthylene";"ACY";"HBM4EU";"parentcompound(s) = Acenaphthylene (ACY) (casnumber=208-96-8)";"decimal";"urine";"measured";11249;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0015;0.0022;"";"208-96-8";"HXGDTGSAIMULJN-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"Parc";"Effect marker";"Cardiometabolic parameters";"";"adipon";"adipon";"Adiponectine";;"HBM4EU";;"decimal";"blood";"measured";205;"µg/mL";"µg/mL";"µg/mL";"µg/mL";;"";"";0;;;9.262;16.3865;"";"";"";"";"";;"HBM4EU Aligned studies";421;"Lab markers for cardiometabolic health and metabolic diseases"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"adp";"adp";"Anti-dechlorane plus";"Anti-DP";"HBM4EU";"parentcompound(s) = Anti-dechlorane plus (Anti-DP) (casnumber=135821-74-8)";"decimal";"blood";"measured";10702;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";0;;;0.007875;0.088365;"";"135821-74-8";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"adp";"adp";"Anti-dechlorane plus";"Anti-DP";"HBM4EU";"parentcompound(s) = Anti-dechlorane plus (Anti-DP) (casnumber=135821-74-8)";"decimal";"urine";"measured";10702;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"135821-74-8";"";"";"";;"Parc Mixtures project";1004;"Flame retardants"
"en";"FHBM";"Effect marker";"Liver function";"";"af";"af";"Alkaline Phosphatases";;"Vito";;"decimal";"blood";"measured";123;"IU/L";"IU/L";"IU/L";"IU/L";;"";"";0;;;;;"";"";"";"";"";;"ZWPFASPhase2";2003;"Liver function"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbgua";"afbgua";"AFB-N7-guanine";;"HBM4EU";"parentcompound(s) = Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12201;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"HBM4EU Existing studies";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbone";"afbone";"Aflatoxin B1";"AFB1";"HBM4EU";"parentcompound(s) = Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12212;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"1162-65-8";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbone";"afbone";"Aflatoxin B1";"AFB1";"HBM4EU";"parentcompound(s) = Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"blood";"measured";12212;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.038;0.02;"";"1162-65-8";"";"";"";;"Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afbtwo";"afbtwo";"Aflatoxin B2";"AFB2";"HBM4EU";"parentcompound(s) = Aflatoxin B2 (AFB2) (casnumber=7220-81-7)";"decimal";"urine";"measured";12213;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"7220-81-7";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afgone";"afgone";"Aflatoxin G1";"AFG1";"HBM4EU";"parentcompound(s) = Aflatoxin G1 (AFG1) (casnumber=1165-39-5)";"decimal";"urine";"measured";12214;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"1165-39-5";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afgtwo";"afgtwo";"Aflatoxin G2";"AFG2";"HBM4EU";"parentcompound(s) = Aflatoxin G2 (AFG2) (casnumber=7241-98-7)";"decimal";"urine";"measured";12215;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"7241-98-7";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"afm";"afm";"Aflatoxin M1";"AFM1";"HBM4EU";"parentcompound(s) = Aflatoxin B1 (AFB1) (casnumber=1162-65-8)";"decimal";"urine";"measured";12203;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"6795-23-9";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10001;"Mycotoxins"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ag";"ag";"Argentum";"Ag";"Parc";;"decimal";"urine";"measured";11580;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.00985428119545341;0.0520254341852631;"";"7440-22-4";"";"";"";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"ag";"ag";"Argentum";"Ag";"Parc";;"decimal";"blood";"measured";11580;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.0263085962789036;0.0600362331210716;"";"7440-22-4";"";"";"";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"ahch";"ahch";"Alpha-hexachlorocyclohexane";"α-HCH";"Parc";;"decimal";"blood";"measured";12551;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"319-84-6";"";"";"https://en.wikipedia.org/wiki/Alpha-Hexachlorocyclohexane";;"Parc Mixtures project";1008;"Pesticides"
