"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/TOTAL","All ISCED 2011 levels","","TOTAL","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED0-2","Less than primary, primary and lower secondary education (levels 0-2)","","ED0-2","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED0","Early childhood education","","ED0","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED1","Primary education","","ED1","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED2","Lower secondary education","","ED2","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED3_4","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","","ED3_4","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED3","Upper secondary education","","ED3","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED4","Post-secondary non-tertiary education","","ED4","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED5-8","Tertiary education (levels 5-8)","","ED5-8","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED5","Short-cycle tertiary education","","ED5","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED6","Bachelor's or equivalent level","","ED6","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED7","Master's or equivalent level","","ED7","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED8","Doctoral or equivalent level","","ED8","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED9","Not elsewhere classified","","ED9","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/UNK","Unknown","","UNK","valid","2013-07-22"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/NRP","No response","","NRP","valid","2014-06-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED0-4","Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)","","ED0-4","valid","2015-02-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED01","Early childhood educational development","","ED01","valid","2015-02-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED02","Pre-primary education","","ED02","valid","2015-02-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isced11/ED1-3","Primary and secondary education (levels 1-3)","","ED1-3","valid","2015-02-20"
