"sampleobsprop_id";"statsuse";"statswhat";"statsvalue";"statsprovenance_source";"statsprovenance_who";"samplegroup_key";"sampletype_key";"statsprovenance_source_detail";"statsprovenance_source_info";"varname"
61987;1;"p50";23.55;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"aama"
61987;1;"p95";286;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
61987;1;"p95";66.765;"HBM4EU aligned studies";"Laura (VITO)";"urine";"urine 24h";"";"";"aama"
61987;1;"p95";221.94;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"aama"
61987;1;"p50";61.6;"HBM4EU aligned studies";"Laura (VITO)";"urine";"random spot urine";"";"";"aama"
61987;1;"p50";71.355;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
61987;1;"p95";273.059;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
61987;1;"p50";72.2;"HBM4EU aligned studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aama"
61989;1;"p50";35.57;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aamasulf"
61989;1;"p95";116.3928;"HBM4EU existing studies";"Laura (VITO)";"urine";"first morning urine";"";"";"aamasulf"
61995;1;"p50";0.0014;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"ace"
61995;1;"p95";0.0028;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"ace"
61997;1;"p95";1.65645;"country studies";"Hans Mol (Wageningen University)";"urine";;"SPRINT study from NL";"";"acetamipridndes"
61997;1;"p50";0.5545;"country studies";"Hans Mol (Wageningen University)";"urine";;"SPRINT study from NL";"";"acetamipridndes"
61999;1;"p50";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"achlor"
61999;1;"p95";0.01;"literature";"Fen (VITO)";"blood";"blood plasma";"https://www.canada.ca/en/health-canada/services/environmental-workplace-health/reports-publications/environmental-contaminants/8-results-chemical-group-report-human-biomonitoring-environmental-chemicals-canada-health-canada-2010.html#n8_2_1";"xxx is <LOD - LOD= 0.01 - unit= µg/L - matrix= plasma";"achlor"
62000;1;"p95";0.0022;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"acy"
62000;1;"p50";0.0015;"country studies";"Laura (VITO)";"urine";"random spot urine";"Flehs3RefAdolescents";"";"acy"
62001;1;"p95";22.553;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adipon"
62001;1;"p50";6.1;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adipon"
62001;1;"p50";12.424;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adipon"
62001;1;"p95";10.22;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adipon"
62002;1;"p95";0.03235;"HBM4EU existing studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
62002;1;"p95";0.162415;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adp"
62002;1;"p50";0.01175;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood plasma";"";"";"adp"
62002;1;"p50";0.004;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
62002;1;"p95";0.07033;"HBM4EU aligned studies";"Laura (VITO)";"blood";"blood serum";"";"";"adp"
62013;1;"p95";0.02;"literature";"Fen (VITO)";"blood";"blood serum";"https://pubmed.ncbi.nlm.nih.gov/23611894/";"xxx is 0.038 (0.024-0.060) - LOD= 0.02 - unit= µg/L - matrix= Serum";"afbone"
62013;1;"p50";0.038;"literature";"Fen (VITO)";"blood";"blood serum";"https://pubmed.ncbi.nlm.nih.gov/23611894/";"LOD= 0.02 - unit= µg/L - matrix= Serum";"afbone"
