"sampleobsbase_id";"sampleobsbase_key";"chebi";"casnumber";"inchikey";"iupac";"label_en";"name_en";"label_nl";"name_nl"
19031;"BDNF";"";"";"";"";"";"BDNF";"";"BDNF"
19032;"Kisspeptine 54";"";"";"";"";"";"Kisspeptine 54";"";"Kisspeptine 54"
19033;"2-phenylphenol";"";"";"LLEMOWNGBBNAJR-UHFFFAOYSA-N";"";"";"2-phenylphenol";"";"2-fenylfenol"
19034;"4-phenylphenol";"";"";"YXVFYQXJAXKLAK-UHFFFAOYSA-N";"";"";"4-phenylphenol";"";"4-fenylfenol"
19035;"N-(2-Carbamoyl-2-hydroxyethyl)valine";"";"";"";"";"GAVal";"N-(2-Carbamoyl-2-hydroxyethyl)valine";"GAVal";"N-(2-carbamoyl-2-hydroxyethyl)valine"
19036;"N-(2-Carbamoylethyl)valine";"";"";"";"";"AAVal";"N-(2-Carbamoylethyl)valine";"AAVal";"N-(2-Carbamoylethyl)valine"
19037;"N-Acetyl-S-(2-carbamoyl-2-hydroxyethyl)cysteine";"";"";"";"";"GAMA";"N-Acetyl-S-(2-carbamoyl-2-hydroxyethyl)cysteine";"GAMA";"N-Acetyl-S-(2-carbamoyl-2-hydroxyethyl)cysteïne"
19038;"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"";"81690-92-8";"";"";"AAMA";"N-acetyl-S-(2-carbamoyl-ethyl)cysteine";"AAMA";"N-acetyl-S-(2-carbamoyl-ethyl)cysteine"
19039;"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"";"861959-88-8";"";"";"AAMA-sulf";"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide";"AAMA-sulf";"N-acetyl-S-(2-carbamoyl-ethyl)-L-cysteine-sulfoxide"
19040;"Cotinine";"";"486-56-6";"UIKROCXWUNQSPJ-VIFPVBQESA-N;NXHGVNVRWLOZDF-SZYUIZJOSA-N";"";"";"Cotinine";"Cotinine";"Cotinine"
19041;"2,3-Dichloroaniline";"";"";"";"";"2,3DChA";"2,3-Dichloroaniline";"";"2,3-dichlooraniline"
19042;"2,4-Dichloroaniline";"";"";"";"";"2,4DChA";"2,4-Dichloroaniline";"";"2,4-dichlooraniline"
19043;"2,5-Dichloroaniline";"";"";"";"";"2,5DChA";"2,5-Dichloroaniline";"";"2,5-dichlooraniline"
